trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
83,0,83,0,,148.46882779989392,148.46882779989392,0.0008931998163461685,[-0.1361111111111111],[-0.2916666666666667],[1],[0],[0],[1.1452427003532648],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
84,0,84,0,,149.6187919001095,149.6187919001095,0.0012417999096214771,[0.09074074074074075],[0.39537037037037037],[1],[0],[0],[1.0259226998314261],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
85,0,85,0,,150.65198630001396,150.65198630001396,0.0012949001975357533,"[-0.32037037037037036, -0.3490740740740741]","[-0.17037037037037037, -0.15462962962962962]","[1, 1]","[0, 0]","[0, 0]","[1.1266808002255857, 1.7625176003202796]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
86,0,86,0,,152.4186120000668,152.4186120000668,0.0007913997396826744,[0.075],[0.39166666666666666],[1],[0],[0],[1.0614549000747502],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
87,0,87,0,,153.48534080013633,153.48534080013633,0.0010246001183986664,[0.4351851851851852],[-0.10833333333333334],[1],[0],[0],[1.3433069000020623],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
88,0,88,0,,154.83533840021119,154.83533840021119,0.0008139000274240971,[-0.17777777777777778],[-0.2851851851851852],[1],[0],[0],[1.1279966998845339],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
89,0,89,0,,155.9688559998758,155.9688559998758,0.0007385001517832279,[0.0962962962962963],[-0.03981481481481482],[1],[0],[0],[1.013554200064391],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
90,0,90,0,,156.98541630012915,156.98541630012915,0.000701600220054388,[-0.11944444444444445],[0.20462962962962963],[1],[0],[0],[0.946856299880892],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
91,0,91,0,,157.9353356999345,157.9353356999345,0.0011931001208722591,[-0.10185185185185185],[0.46574074074074073],[1],[0],[0],[0.7939356998540461],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
92,0,92,0,,158.73547369986773,158.73547369986773,0.0007241000421345234,[-0.4638888888888889],[-0.20092592592592592],[1],[0],[0],[1.2296974998898804],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
93,0,93,0,,159.9683362999931,159.9683362999931,0.0007381998002529144,[-0.3787037037037037],[-0.12685185185185185],[1],[0],[0],[1.4127056999132037],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
94,0,94,0,,161.3853473002091,161.3853473002091,0.0008884002454578876,[-0.15555555555555556],[-0.004629629629629629],[1],[0],[0],[1.4619720000773668],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
95,0,95,0,,162.85199150023982,162.85199150023982,0.0009706998243927956,[-0.2490740740740741],[0.175],[1],[0],[0],[1.0628184000961483],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
96,0,96,0,,163.91893200017512,163.91893200017512,0.0010444000363349915,[-0.16296296296296298],[-0.005555555555555556],[1],[0],[0],[0.8786150002852082],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
97,0,97,0,,164.8023260999471,164.8023260999471,0.001291399821639061,[0.32407407407407407],[0.37962962962962965],[1],[0],[0],[1.276941700372845],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
98,0,98,0,,166.0853035999462,166.0853035999462,0.0008061998523771763,[-0.08518518518518518],[0.47129629629629627],[1],[0],[0],[1.2963555003516376],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
